symbol,industry,industry_source,rows,selected_rows,has_industry,is_unknown
002007.SZ,C 制造业,akshare_metadata_cache,2054,1659,True,False
002010.SZ,L 商务服务,akshare_metadata_cache,2044,606,True,False
002011.SZ,C 制造业,akshare_metadata_cache,1938,679,True,False
002017.SZ,C 制造业,akshare_metadata_cache,2048,906,True,False
002019.SZ,C 制造业,akshare_metadata_cache,2054,1020,True,False
002020.SZ,C 制造业,akshare_metadata_cache,2054,894,True,False
002022.SZ,C 制造业,akshare_metadata_cache,2047,539,True,False
002025.SZ,C 制造业,akshare_metadata_cache,2054,1853,True,False
002027.SZ,L 商务服务,akshare_metadata_cache,2054,2054,True,False
002028.SZ,C 制造业,akshare_metadata_cache,2054,1932,True,False
002030.SZ,C 制造业,akshare_metadata_cache,2054,1259,True,False
002035.SZ,C 制造业,akshare_metadata_cache,2054,857,True,False
002037.SZ,C 制造业,akshare_metadata_cache,2004,339,True,False
002044.SZ,Q 卫生,akshare_metadata_cache,2054,1898,True,False
002045.SZ,C 制造业,akshare_metadata_cache,2049,1424,True,False
002046.SZ,C 制造业,akshare_metadata_cache,2054,673,True,False
002047.SZ,E 建筑业,akshare_metadata_cache,1984,440,True,False
002048.SZ,C 制造业,akshare_metadata_cache,2054,1097,True,False
002056.SZ,C 制造业,akshare_metadata_cache,2054,1938,True,False
002057.SZ,C 制造业,akshare_metadata_cache,2054,758,True,False
002059.SZ,N 公共环保,akshare_metadata_cache,1938,237,True,False
002060.SZ,E 建筑业,akshare_metadata_cache,2044,324,True,False
002068.SZ,C 制造业,akshare_metadata_cache,2054,987,True,False
002069.SZ,A 农林牧渔,akshare_metadata_cache,2049,84,True,False
002074.SZ,C 制造业,akshare_metadata_cache,2047,2047,True,False
002076.SZ,C 制造业,akshare_metadata_cache,2037,319,True,False
002084.SZ,C 制造业,akshare_metadata_cache,2054,205,True,False
002085.SZ,C 制造业,akshare_metadata_cache,2006,1078,True,False
002086.SZ,A 农林牧渔,akshare_metadata_cache,1978,328,True,False
002090.SZ,C 制造业,akshare_metadata_cache,2047,333,True,False
002093.SZ,I 信息技术,akshare_metadata_cache,2054,905,True,False
002097.SZ,C 制造业,akshare_metadata_cache,2051,621,True,False
002098.SZ,C 制造业,akshare_metadata_cache,1885,293,True,False
002101.SZ,C 制造业,akshare_metadata_cache,2054,455,True,False
002106.SZ,C 制造业,akshare_metadata_cache,2054,820,True,False
002107.SZ,C 制造业,akshare_metadata_cache,2054,89,True,False
002110.SZ,C 制造业,akshare_metadata_cache,2047,954,True,False
002114.SZ,C 制造业,akshare_metadata_cache,2050,244,True,False
002116.SZ,E 建筑业,akshare_metadata_cache,2054,291,True,False
002119.SZ,C 制造业,akshare_metadata_cache,2054,1129,True,False
002131.SZ,L 商务服务,akshare_metadata_cache,2051,1750,True,False
002132.SZ,C 制造业,akshare_metadata_cache,2054,558,True,False
002133.SZ,K 房地产,akshare_metadata_cache,2054,98,True,False
002139.SZ,C 制造业,akshare_metadata_cache,2054,1687,True,False
002140.SZ,E 建筑业,akshare_metadata_cache,2054,291,True,False
002141.SZ,C 制造业,akshare_metadata_cache,2052,279,True,False
002144.SZ,C 制造业,akshare_metadata_cache,2054,18,True,False
002145.SZ,C 制造业,akshare_metadata_cache,2054,1137,True,False
002148.SZ,I 信息技术,akshare_metadata_cache,2054,603,True,False
002149.SZ,C 制造业,akshare_metadata_cache,2054,812,True,False
002154.SZ,C 制造业,akshare_metadata_cache,2054,287,True,False
002155.SZ,B 采矿业,akshare_metadata_cache,2044,1963,True,False
002158.SZ,C 制造业,akshare_metadata_cache,2054,821,True,False
002166.SZ,C 制造业,akshare_metadata_cache,2038,582,True,False
002169.SZ,C 制造业,akshare_metadata_cache,2046,885,True,False
002171.SZ,C 制造业,akshare_metadata_cache,1994,939,True,False
002174.SZ,I 信息技术,akshare_metadata_cache,2054,1608,True,False
002176.SZ,C 制造业,akshare_metadata_cache,2042,1689,True,False
002177.SZ,C 制造业,akshare_metadata_cache,2052,1127,True,False
002179.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002181.SZ,L 商务服务,akshare_metadata_cache,2054,685,True,False
002184.SZ,C 制造业,akshare_metadata_cache,2044,651,True,False
002186.SZ,H 住宿餐饮,akshare_metadata_cache,2049,152,True,False
002187.SZ,F 批发零售,akshare_metadata_cache,2048,222,True,False
002188.SZ,K 房地产,akshare_metadata_cache,2039,107,True,False
002189.SZ,C 制造业,akshare_metadata_cache,2006,651,True,False
002192.SZ,B 采矿业,akshare_metadata_cache,2052,1671,True,False
002195.SZ,I 信息技术,akshare_metadata_cache,2054,1910,True,False
002197.SZ,I 信息技术,akshare_metadata_cache,2042,907,True,False
002201.SZ,C 制造业,akshare_metadata_cache,2054,561,True,False
002204.SZ,C 制造业,akshare_metadata_cache,2054,447,True,False
002205.SZ,C 制造业,akshare_metadata_cache,2038,212,True,False
002206.SZ,C 制造业,akshare_metadata_cache,2054,234,True,False
002212.SZ,I 信息技术,akshare_metadata_cache,2010,1125,True,False
002213.SZ,C 制造业,akshare_metadata_cache,2019,560,True,False
002215.SZ,C 制造业,akshare_metadata_cache,2054,654,True,False
002218.SZ,C 制造业,akshare_metadata_cache,2054,764,True,False
002223.SZ,C 制造业,akshare_metadata_cache,2054,1852,True,False
002226.SZ,C 制造业,akshare_metadata_cache,1918,280,True,False
002232.SZ,I 信息技术,akshare_metadata_cache,2054,861,True,False
002233.SZ,C 制造业,akshare_metadata_cache,2054,911,True,False
002234.SZ,A 农林牧渔,akshare_metadata_cache,2054,872,True,False
002235.SZ,C 制造业,akshare_metadata_cache,2049,1436,True,False
002243.SZ,C 制造业,akshare_metadata_cache,2043,565,True,False
002244.SZ,K 房地产,akshare_metadata_cache,2054,1106,True,False
002246.SZ,C 制造业,akshare_metadata_cache,2054,752,True,False
002248.SZ,C 制造业,akshare_metadata_cache,2053,386,True,False
002252.SZ,C 制造业,akshare_metadata_cache,1845,1273,True,False
002253.SZ,I 信息技术,akshare_metadata_cache,2053,485,True,False
002254.SZ,C 制造业,akshare_metadata_cache,2032,742,True,False
002255.SZ,C 制造业,akshare_metadata_cache,2052,437,True,False
002259.SZ,D 水电煤气,akshare_metadata_cache,1955,121,True,False
002264.SZ,I 信息技术,akshare_metadata_cache,2054,495,True,False
002266.SZ,N 公共环保,akshare_metadata_cache,2043,488,True,False
002267.SZ,D 水电煤气,akshare_metadata_cache,2054,248,True,False
002270.SZ,C 制造业,akshare_metadata_cache,2002,656,True,False
002272.SZ,C 制造业,akshare_metadata_cache,2054,771,True,False
002273.SZ,C 制造业,akshare_metadata_cache,2054,2046,True,False
002275.SZ,C 制造业,akshare_metadata_cache,2054,20,True,False
002277.SZ,F 批发零售,akshare_metadata_cache,2042,572,True,False
002281.SZ,C 制造业,akshare_metadata_cache,2054,1741,True,False
002284.SZ,C 制造业,akshare_metadata_cache,2054,533,True,False
002291.SZ,I 信息技术,akshare_metadata_cache,2039,1342,True,False
002299.SZ,C 制造业,akshare_metadata_cache,2054,1220,True,False
002303.SZ,C 制造业,akshare_metadata_cache,2054,173,True,False
002304.SZ,C 制造业,akshare_metadata_cache,2054,1909,True,False
002314.SZ,K 房地产,akshare_metadata_cache,2038,229,True,False
002316.SZ,I 信息技术,akshare_metadata_cache,2050,451,True,False
002317.SZ,C 制造业,akshare_metadata_cache,2054,1419,True,False
002319.SZ,C 制造业,akshare_metadata_cache,2017,23,True,False
002326.SZ,C 制造业,akshare_metadata_cache,2049,1488,True,False
002328.SZ,C 制造业,akshare_metadata_cache,2054,425,True,False
002333.SZ,C 制造业,akshare_metadata_cache,2050,191,True,False
002343.SZ,R 文化传播,akshare_metadata_cache,2049,746,True,False
002353.SZ,C 制造业,akshare_metadata_cache,2054,1963,True,False
002355.SZ,C 制造业,akshare_metadata_cache,2044,490,True,False
002356.SZ,F 批发零售,akshare_metadata_cache,2036,265,True,False
002358.SZ,C 制造业,akshare_metadata_cache,2011,485,True,False
002361.SZ,C 制造业,akshare_metadata_cache,2054,350,True,False
002365.SZ,C 制造业,akshare_metadata_cache,2054,430,True,False
002366.SZ,C 制造业,akshare_metadata_cache,1971,1016,True,False
002367.SZ,C 制造业,akshare_metadata_cache,2054,539,True,False
002368.SZ,I 信息技术,akshare_metadata_cache,2054,1618,True,False
002370.SZ,C 制造业,akshare_metadata_cache,2040,814,True,False
002372.SZ,C 制造业,akshare_metadata_cache,2054,820,True,False
002374.SZ,C 制造业,akshare_metadata_cache,2044,335,True,False
002376.SZ,C 制造业,akshare_metadata_cache,2054,558,True,False
002377.SZ,C 制造业,akshare_metadata_cache,2048,146,True,False
002378.SZ,C 制造业,akshare_metadata_cache,2054,701,True,False
002379.SZ,C 制造业,akshare_metadata_cache,2044,369,True,False
002383.SZ,C 制造业,akshare_metadata_cache,2054,1050,True,False
002387.SZ,C 制造业,akshare_metadata_cache,2021,760,True,False
002389.SZ,C 制造业,akshare_metadata_cache,2054,1719,True,False
002391.SZ,C 制造业,akshare_metadata_cache,2054,123,True,False
002393.SZ,C 制造业,akshare_metadata_cache,2054,66,True,False
002394.SZ,C 制造业,akshare_metadata_cache,2054,7,True,False
002398.SZ,C 制造业,akshare_metadata_cache,2007,222,True,False
002403.SZ,C 制造业,akshare_metadata_cache,2054,227,True,False
002405.SZ,I 信息技术,akshare_metadata_cache,2054,1981,True,False
002406.SZ,C 制造业,akshare_metadata_cache,2054,337,True,False
002409.SZ,C 制造业,akshare_metadata_cache,2049,1825,True,False
002410.SZ,I 信息技术,akshare_metadata_cache,2054,1963,True,False
002412.SZ,C 制造业,akshare_metadata_cache,2054,155,True,False
002422.SZ,C 制造业,akshare_metadata_cache,2054,1932,True,False
002423.SZ,J 金融业,akshare_metadata_cache,1962,657,True,False
002425.SZ,I 信息技术,akshare_metadata_cache,2038,1032,True,False
002436.SZ,C 制造业,akshare_metadata_cache,1985,1871,True,False
002438.SZ,C 制造业,akshare_metadata_cache,2044,164,True,False
002441.SZ,F 批发零售,akshare_metadata_cache,2054,158,True,False
002445.SZ,C 制造业,akshare_metadata_cache,1970,280,True,False
002446.SZ,C 制造业,akshare_metadata_cache,2054,1363,True,False
002449.SZ,C 制造业,akshare_metadata_cache,2054,880,True,False
002451.SZ,C 制造业,akshare_metadata_cache,1977,551,True,False
002453.SZ,C 制造业,akshare_metadata_cache,2014,327,True,False
002455.SZ,C 制造业,akshare_metadata_cache,2054,580,True,False
002457.SZ,C 制造业,akshare_metadata_cache,2054,719,True,False
002458.SZ,A 农林牧渔,akshare_metadata_cache,2034,1020,True,False
002459.SZ,C 制造业,akshare_metadata_cache,1982,1645,True,False
002460.SZ,C 制造业,akshare_metadata_cache,2054,2054,True,False
002461.SZ,C 制造业,akshare_metadata_cache,2054,335,True,False
002462.SZ,F 批发零售,akshare_metadata_cache,2049,155,True,False
002467.SZ,I 信息技术,akshare_metadata_cache,2054,1060,True,False
002468.SZ,G 运输仓储,akshare_metadata_cache,2054,1061,True,False
002471.SZ,C 制造业,akshare_metadata_cache,2044,482,True,False
002474.SZ,I 信息技术,akshare_metadata_cache,2054,788,True,False
002479.SZ,D 水电煤气,akshare_metadata_cache,2054,239,True,False
002483.SZ,C 制造业,akshare_metadata_cache,2038,171,True,False
002486.SZ,C 制造业,akshare_metadata_cache,2043,309,True,False
002492.SZ,G 运输仓储,akshare_metadata_cache,2054,282,True,False
002493.SZ,C 制造业,akshare_metadata_cache,2054,1529,True,False
002497.SZ,C 制造业,akshare_metadata_cache,2054,1781,True,False
002498.SZ,C 制造业,akshare_metadata_cache,2054,545,True,False
002500.SZ,J 金融业,akshare_metadata_cache,2048,964,True,False
002510.SZ,C 制造业,akshare_metadata_cache,2044,896,True,False
002515.SZ,C 制造业,akshare_metadata_cache,1971,414,True,False
002516.SZ,C 制造业,akshare_metadata_cache,2049,128,True,False
002518.SZ,C 制造业,akshare_metadata_cache,2054,1216,True,False
002520.SZ,C 制造业,akshare_metadata_cache,1946,587,True,False
002524.SZ,Q 卫生,akshare_metadata_cache,1982,600,True,False
002527.SZ,C 制造业,akshare_metadata_cache,2049,559,True,False
002529.SZ,C 制造业,akshare_metadata_cache,2035,373,True,False
002530.SZ,C 制造业,akshare_metadata_cache,2049,1219,True,False
002537.SZ,C 制造业,akshare_metadata_cache,2054,1132,True,False
