date,symbol,is_selected,quality_status,quality_flags_x,open,high,low,close,volume,amount,data_source,amount_estimated,price_adjust,source_priority,source_fetch_time,source_error,volume_unit,quality_flags_y,factor,is_paused,is_st,list_date,list_date_fallback,industry,limit_up,limit_down,has_valid_ohlc,has_valid_volume,has_valid_amount,has_valid_limit,has_valid_list_date,has_valid_industry,listed_days,listed_days_fallback,avg_amount,eligible,liquidity_rank,selected,industry_source,industry_update_date,year
2018-08-17,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.66,-1.63,-1.79,-1.78,11002000.0,39456112.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.859,-1.521,False,True,True,False,True,True,5496.0,False,43155368.9,True,563.0,False,akshare_metadata_cache,,2018
2018-08-17,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.21,-1.2,-1.35,-1.34,40005000.0,294774576.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.4080000000000001,-1.1520000000000001,False,True,True,False,True,False,1662.0,False,420608226.55,True,48.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-20,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,0.12,0.19,-0.03,0.12,9348200.0,84209067.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,0.198,0.162,False,True,True,False,True,False,6325.0,False,128899027.05,True,198.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-20,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.78,-1.74,-1.91,-1.79,8880700.0,30716767.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9580000000000002,-1.602,False,True,True,False,True,True,5499.0,False,42247923.4,True,564.0,False,akshare_metadata_cache,,2018
2018-08-20,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.32,-1.22,-1.36,-1.23,35631000.0,261635236.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.4740000000000002,-1.2060000000000002,False,True,True,False,True,False,1665.0,False,403985247.55,True,48.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-21,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.8,-1.76,-1.83,-1.78,6079400.0,21255857.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9690000000000003,-1.611,False,True,True,False,True,True,5500.0,False,39381968.1,True,573.0,False,akshare_metadata_cache,,2018
2018-08-21,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.23,-1.1,-1.28,-1.17,38241700.0,285305872.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.353,-1.107,False,True,True,False,True,False,1666.0,False,364770929.15,True,53.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-22,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.77,-1.7,-1.8,-1.77,5864400.0,20700957.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9580000000000002,-1.602,False,True,True,False,True,True,5501.0,False,37847855.55,True,569.0,False,akshare_metadata_cache,,2018
2018-08-22,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.15,-1.0,-1.2,-1.11,42849700.0,323613280.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.287,-1.053,False,True,True,False,True,False,1667.0,False,358768521.15,True,51.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-23,600295.SH,True,failed,invalid_ohlc;vwap_unit_outlier,0.03,0.1,-0.1,0.02,7116500.0,63131357.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,0.022000000000000002,0.018000000000000002,False,True,True,True,True,False,6328.0,False,123273227.6,True,184.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-23,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.76,-1.75,-1.81,-1.77,4745700.0,16595099.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9470000000000003,-1.593,False,True,True,False,True,True,5502.0,False,36216525.1,True,570.0,False,akshare_metadata_cache,,2018
2018-08-23,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.1,-1.07,-1.24,-1.11,30080300.0,225460029.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.2210000000000003,-0.9990000000000001,False,True,True,False,True,False,1668.0,False,341092429.8,True,55.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-24,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,0.01,0.03,-0.04,-0.01,4623400.0,40878285.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,0.022000000000000002,0.018000000000000002,False,True,True,False,True,False,6329.0,False,122387812.85,True,182.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-24,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.76,-1.76,-1.84,-1.81,4275500.0,14839979.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9470000000000003,-1.593,False,True,True,False,True,True,5503.0,False,34875492.35,True,577.0,False,akshare_metadata_cache,,2018
2018-08-24,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.11,-1.08,-1.23,-1.12,21736200.0,162415661.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.2210000000000003,-0.9990000000000001,False,True,True,False,True,False,1669.0,False,336280152.8,True,56.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-27,600295.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.01,0.12,-0.01,0.1,6612000.0,59403940.0,eastmoney,False,qfq,1,2026-06-28T07:56:28.147202+00:00,,share,,1.0,False,False,2001-04-26,False,钢铁,-0.011000000000000001,-0.009000000000000001,False,True,True,False,True,False,6332.0,False,121451356.1,True,185.0,True,eastmoney_board_industry,2026-06-28,2018
2018-08-27,600546.SH,False,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.76,-1.72,-1.76,-1.73,6228400.0,22046775.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-1.9910000000000003,-1.629,False,True,True,False,True,True,5506.0,False,33702338.9,True,591.0,False,akshare_metadata_cache,,2018
2018-08-27,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-1.11,-1.02,-1.13,-1.03,34753900.0,262873066.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-1.2320000000000002,-1.0080000000000002,False,True,True,False,True,False,1672.0,False,333663701.3,True,57.0,True,eastmoney_board_industry,2026-06-28,2018
