symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
002376.SZ,eastmoney,1.0,False,eastmoney,,
002377.SZ,eastmoney,1.0,False,eastmoney,,
002378.SZ,eastmoney,1.0,False,eastmoney,,
002379.SZ,eastmoney,1.0,False,eastmoney,,
002389.SZ,eastmoney,1.0,False,eastmoney,,
002393.SZ,eastmoney,1.0,False,eastmoney,,
002394.SZ,eastmoney,1.0,False,eastmoney,,
002406.SZ,eastmoney,1.0,False,eastmoney,,
002409.SZ,eastmoney,1.0,False,eastmoney,,
002422.SZ,eastmoney,1.0,False,eastmoney,,
002423.SZ,eastmoney,1.0,False,eastmoney,,
002436.SZ,eastmoney,1.0,False,eastmoney,,
002438.SZ,eastmoney,1.0,False,eastmoney,,
002441.SZ,eastmoney,1.0,False,eastmoney,,
002445.SZ,eastmoney,1.0,False,eastmoney,,
002446.SZ,eastmoney,1.0,False,eastmoney,,
002451.SZ,eastmoney,1.0,False,eastmoney,,
002455.SZ,eastmoney,1.0,False,eastmoney,,
002457.SZ,eastmoney,1.0,False,eastmoney,,
002458.SZ,eastmoney,1.0,False,eastmoney,,
002460.SZ,eastmoney,1.0,False,eastmoney,,
002461.SZ,eastmoney,1.0,False,eastmoney,,
002467.SZ,eastmoney,1.0,False,eastmoney,,
002483.SZ,eastmoney,1.0,False,eastmoney,,
002492.SZ,eastmoney,1.0,False,eastmoney,,
002493.SZ,eastmoney,1.0,False,eastmoney,,
002497.SZ,eastmoney,1.0,False,eastmoney,,
002500.SZ,eastmoney,1.0,False,eastmoney,,
002515.SZ,eastmoney,1.0,False,eastmoney,,
002516.SZ,eastmoney,1.0,False,eastmoney,,
002527.SZ,eastmoney,1.0,False,eastmoney,,
002529.SZ,eastmoney,1.0,False,eastmoney,,
002530.SZ,eastmoney,1.0,False,eastmoney,,
002541.SZ,eastmoney,1.0,False,eastmoney,,
002544.SZ,eastmoney,1.0,False,eastmoney,,
