date,position_count,unknown_position_count,gross_weight,unknown_weight,unknown_position_ratio,unknown_weight_ratio,path
2025-07-15,50,0,0.9894162697786519,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-16,50,0,0.9896673705031801,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-17,50,0,0.9893689829405087,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-18,50,0,0.9896569472979796,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-21,50,0,0.9896528115707843,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-22,50,0,0.9895984478772809,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-23,50,0,0.9898126542517227,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-24,50,0,0.9896034174145283,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-25,50,0,0.9895125707714215,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-28,50,0,0.9896399517035475,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-29,50,0,0.9892059692053008,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-30,50,0,0.9891526944939214,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-31,50,0,0.9891421868056783,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-01,50,0,0.9889492073321456,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-04,50,0,0.9894013425579101,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-05,50,0,0.9894134241601799,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-06,50,0,0.9897097134238656,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-07,50,0,0.9898517410568662,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-08,50,0,0.9896640520256366,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-11,50,0,0.9894508692272934,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-12,50,0,0.9896757788509087,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-13,50,0,0.9894475984232437,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-14,50,0,0.9890088853377051,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-15,50,0,0.9891425042371723,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-18,50,0,0.9888222222575487,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-19,50,0,0.9894653628310577,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-20,50,0,0.98960990679132,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-21,50,0,0.9895903812641306,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-22,50,0,0.9895602361104823,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-25,50,0,0.9893996011034933,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-26,50,0,0.9891358067156014,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-08-27,50,0,0.9895390352844802,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
