date,rows,selected_count,unknown_rows,unknown_selected_count,unknown_row_ratio,unknown_selected_ratio,path
2018-06-29,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-02,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-03,235,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-04,235,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-05,235,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-06,235,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-09,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-10,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-11,234,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-12,234,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-13,234,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-16,234,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-17,234,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-18,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-19,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-20,236,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-23,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-24,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-25,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-26,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-27,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-30,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-07-31,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-01,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-02,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-03,237,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-06,236,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-07,237,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-08,237,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-09,237,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-10,236,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-13,238,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-14,238,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-15,238,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-16,238,232,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-17,239,233,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-20,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-21,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-22,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-23,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-24,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-27,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-28,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-08-29,240,234,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
