date,symbol,shares,close,market_value,weight,industry,market_cap
2026-04-10,000333.SZ,100,76.41,7641.0,0.006328596181875763,,0.0
2026-04-10,000538.SZ,400,53.33,21332.0,0.017668055719378847,,0.0
2026-04-10,000598.SZ,2000,6.7,13400.0,0.011098441151306796,,0.0
2026-04-10,000623.SZ,600,18.24,10943.999999999998,0.00906427910148519,,0.0
2026-04-10,000651.SZ,500,37.34,18670.0,0.015463275842902826,,0.0
2026-04-10,000725.SZ,2600,4.01,10426.0,0.008635249809218258,,0.0
2026-04-10,000728.SZ,2000,7.76,15520.0,0.012854313930468765,,0.0
2026-04-10,000423.SZ,200,53.18,10636.0,0.008809180603380528,,0.0
2026-04-10,000778.SZ,2000,4.46,8920.0,0.007387917542511687,,0.0
2026-04-10,000157.SZ,1000,8.76,8760.0,0.007255398842197577,,0.0
2026-04-10,000513.SZ,400,32.85,13140.0,0.010883098263296365,,0.0
2026-04-10,000589.SZ,2800,4.52,12655.999999999998,0.010482229194846178,,0.0
2026-04-10,000563.SZ,4200,3.35,14070.0,0.011653363208872135,,0.0
2026-04-10,000776.SZ,600,18.87,11322.0,0.009377354530977279,,0.0
2026-04-10,000783.SZ,1500,6.98,10470.0,0.008671692451804639,,0.0
2026-04-10,000750.SZ,3900,3.86,15054.0,0.012468353215803918,,0.0
2026-04-10,000625.SZ,2200,10.12,22264.0,0.018439977148708545,,0.0
2026-04-10,000009.SZ,1300,8.89,11557.0,0.00957199137206363,,0.0
2026-04-10,000049.SZ,400,26.63,10652.0,0.00882243247341194,,0.0
2026-04-10,000061.SZ,1400,7.23,10122.0,0.008383464278621447,,0.0
2026-04-10,000088.SZ,3500,4.52,15819.999999999998,0.013102786493557722,,0.0
2026-04-10,000410.SZ,1400,6.66,9324.0,0.007722527260804818,,0.0
2026-04-10,000510.SZ,200,14.66,2932.0,0.0024284051832560837,,0.0
2026-04-10,000686.SZ,1700,8.12,13803.999999999998,0.011433050869599923,,0.0
2026-04-10,000713.SZ,1600,6.4,10240.0,0.008481196820103103,,0.0
2026-04-10,000007.SZ,500,13.68,6840.0,0.0056651744384282445,,0.0
2026-04-10,000019.SZ,1400,7.76,10864.0,0.008998019751328136,,0.0
2026-04-10,000401.SZ,2600,4.63,12038.0,0.009970375714882925,,0.0
2026-04-10,000403.SZ,1100,12.82,14102.0,0.011679866948934957,,0.0
2026-04-10,000421.SZ,1300,6.38,8294.0,0.006869438127532729,,0.0
2026-04-10,000498.SZ,2500,5.7,14250.0,0.01180244674672551,,0.0
2026-04-10,000507.SZ,2000,5.35,10700.0,0.008862188083506172,,0.0
2026-04-10,000547.SZ,100,26.49,2649.0,0.0021940127320755,,0.0
2026-04-10,000564.SZ,6300,1.88,11844.0,0.009809696790752066,,0.0
2026-04-10,000582.SZ,700,10.75,7525.0,0.006232520124148032,,0.0
2026-04-10,000592.SZ,200,11.43,2286.0,0.0018933609307378609,,0.0
2026-04-10,000672.SZ,500,13.04,6520.0,0.005400137037800023,,0.0
2026-04-10,000680.SZ,600,11.48,6888.0,0.005704930048522478,,0.0
2026-04-10,000685.SZ,1000,11.05,11050.0,0.00915207274044329,,0.0
2026-04-10,000697.SZ,1000,9.87,9870.0,0.008174747325626721,,0.0
2026-04-10,000707.SZ,1800,5.96,10728.0,0.008885378856061141,,0.0
2026-04-10,000708.SZ,500,16.47,8235.0,0.0068205718567919005,,0.0
2026-04-10,000729.SZ,700,14.26,9982.0,0.008267510415846599,,0.0
2026-04-10,000735.SZ,1400,6.59,9226.0,0.0076413595568624254,,0.0
2026-04-10,000800.SZ,2400,6.98,16752.0,0.013874707922887421,,0.0
2026-04-10,000852.SZ,1200,7.06,8472.0,0.007016865181632177,,0.0
2026-04-10,000858.SZ,100,102.07,10207.0,0.008453864838163318,,0.0
2026-04-13,000001.SZ,2000,10.72,21440.0,0.017757064627754775,,0.0
2026-04-13,000166.SZ,3600,4.75,17100.0,0.01416258419471113,,0.0
2026-04-13,000333.SZ,100,75.78,7578.0,0.006276260995761459,,0.0
2026-04-13,000538.SZ,400,53.14,21256.0,0.01760467190893449,,0.0
2026-04-13,000598.SZ,2000,6.6,13200.0,0.010932521132759469,,0.0
2026-04-13,000623.SZ,600,18.24,10943.999999999998,0.009064053884615121,,0.0
2026-04-13,000651.SZ,500,37.16,18580.0,0.01538835171565689,,0.0
2026-04-13,000725.SZ,2600,4.0,10400.0,0.008613501498537764,,0.0
2026-04-13,000728.SZ,2000,7.8,15600.0,0.012920252247806645,,0.0
2026-04-13,000423.SZ,200,53.02,10604.0,0.008782458643316773,,0.0
2026-04-13,000778.SZ,2000,4.46,8920.0,0.007387733977592004,,0.0
2026-04-13,000157.SZ,1000,8.7,8700.0,0.007205525292046013,,0.0
2026-04-13,000513.SZ,400,32.06,12824.0,0.010621109924735412,,0.0
2026-04-13,000589.SZ,2800,4.49,12572.0,0.010412398157655458,,0.0
2026-04-13,000563.SZ,4200,3.34,14028.0,0.011618288367450744,,0.0
2026-04-13,000776.SZ,600,19.37,11622.0,0.009625587924615951,,0.0
2026-04-13,000783.SZ,1500,6.98,10470.0,0.008671476989393306,,0.0
2026-04-13,000750.SZ,3900,3.88,15132.0,0.012532644680372445,,0.0
2026-04-13,000625.SZ,2200,10.1,22220.0,0.018403077240145106,,0.0
2026-04-13,000009.SZ,1300,8.94,11622.0,0.009625587924615951,,0.0
2026-04-13,000049.SZ,400,26.97,10788.0,0.008934851362137057,,0.0
2026-04-13,000061.SZ,1400,7.22,10108.0,0.008371660879540357,,0.0
2026-04-13,000088.SZ,3500,4.48,15680.000000000002,0.012986509951641552,,0.0
2026-04-13,000410.SZ,1400,6.72,9408.0,0.0077919059709849305,,0.0
2026-04-13,000510.SZ,200,14.51,2902.0,0.0024034982066112104,,0.0
2026-04-13,000686.SZ,1700,8.18,13906.0,0.011517245369102513,,0.0
2026-04-13,000713.SZ,1600,6.4,10240.0,0.008480986090867951,,0.0
2026-04-13,000007.SZ,500,13.32,6660.0,0.005515953844255914,,0.0
2026-04-13,000019.SZ,1400,8.14,11396.0,0.009438409911282341,,0.0
2026-04-13,000401.SZ,2600,4.62,12012.0,0.009948594230811117,,0.0
2026-04-13,000403.SZ,1100,12.67,13937.0,0.01154292022933854,,0.0
2026-04-13,000421.SZ,1300,6.17,8021.0,0.00664316303074725,,0.0
2026-04-13,000498.SZ,2500,5.72,14300.0,0.011843564560489425,,0.0
2026-04-13,000507.SZ,2000,5.4,10800.0,0.008944790017712293,,0.0
2026-04-13,000547.SZ,100,26.42,2642.0,0.0021881606691477665,,0.0
2026-04-13,000564.SZ,6300,1.88,11844.0,0.009809453052757815,,0.0
2026-04-13,000582.SZ,700,10.5,7350.0,0.006087426539831977,,0.0
2026-04-13,000592.SZ,200,11.69,2338.0,0.0019363813945751241,,0.0
2026-04-13,000672.SZ,500,12.78,6390.0,0.005292334093813107,,0.0
2026-04-13,000680.SZ,600,11.55,6930.0,0.005739573594698721,,0.0
2026-04-13,000685.SZ,1000,11.03,11030.0,0.009135280916237647,,0.0
2026-04-13,000697.SZ,1000,9.87,9870.0,0.008174544210631511,,0.0
2026-04-13,000707.SZ,1800,5.99,10782.0,0.008929882034349438,,0.0
2026-04-13,000708.SZ,500,16.48,8240.0,0.006824543494995305,,0.0
2026-04-13,000729.SZ,700,13.96,9772.0,0.008093378523433753,,0.0
2026-04-13,000735.SZ,1400,6.72,9408.0,0.0077919059709849305,,0.0
2026-04-13,000800.SZ,2400,7.17,17208.0,0.014252032094888253,,0.0
2026-04-13,000852.SZ,1200,7.07,8484.0,0.0070266294916917675,,0.0
2026-04-13,000858.SZ,100,102.42,10242.0,0.008482642533463824,,0.0
2026-04-14,000001.SZ,2000,10.81,21620.0,0.01788364561639944,,0.0
2026-04-14,000166.SZ,3600,4.77,17172.0,0.014204346092729471,,0.0
2026-04-14,000333.SZ,100,76.55,7655.0,0.006332067862790829,,0.0
2026-04-14,000538.SZ,400,53.45,21380.0,0.017685122260805736,,0.0
2026-04-14,000598.SZ,2000,6.58,13160.0,0.010885697331721398,,0.0
2026-04-14,000623.SZ,600,18.33,10997.999999999998,0.009097332770081453,,0.0
2026-04-14,000651.SZ,500,37.28,18640.0,0.01541864728444429,,0.0
2026-04-14,000725.SZ,2600,3.99,10374.0,0.008581172045537825,,0.0
2026-04-14,000728.SZ,2000,7.85,15700.0,0.012986736178421424,,0.0
2026-04-14,000423.SZ,200,53.16,10632.0,0.008794584652801057,,0.0
2026-04-14,000778.SZ,2000,4.51,9020.0,0.007461169447730016,,0.0
2026-04-14,000157.SZ,1000,8.69,8690.0,0.007188199833788674,,0.0
2026-04-14,000513.SZ,400,32.33,12932.0,0.01069710014390738,,0.0
2026-04-14,000589.SZ,2800,4.52,12655.999999999998,0.01046879828497462,,0.0
2026-04-14,000563.SZ,4200,3.35,14070.0,0.011638431721680857,,0.0
2026-04-14,000776.SZ,600,19.63,11778.0,0.00974253367576099,,0.0
2026-04-14,000783.SZ,1500,7.04,10560.0,0.008735027646122946,,0.0
2026-04-14,000750.SZ,3900,3.9,15210.0,0.012581417660750946,,0.0
2026-04-14,000625.SZ,2200,10.11,22242.0,0.018398151979646456,,0.0
2026-04-14,000009.SZ,1300,9.02,11726.0,0.009699520282049021,,0.0
2026-04-14,000049.SZ,400,27.33,10932.0,0.009042738847293185,,0.0
2026-04-14,000061.SZ,1400,7.3,10220.0,0.008453786225698532,,0.0
2026-04-14,000088.SZ,3500,4.47,15645.0,0.012941241242764535,,0.0
2026-04-14,000410.SZ,1400,6.75,9450.0,0.007816857126502067,,0.0
2026-04-14,000510.SZ,200,14.92,2984.0,0.002468307054548378,,0.0
2026-04-14,000686.SZ,1700,8.21,13957.000000000002,0.011544960308422156,,0.0
2026-04-14,000713.SZ,1600,6.43,10288.0,0.008510034509783415,,0.0
2026-04-14,000007.SZ,500,13.36,6680.0,0.005525566730691408,,0.0
2026-04-14,000019.SZ,1400,7.94,11116.0,0.009194940086581692,,0.0
2026-04-14,000401.SZ,2600,4.63,12038.0,0.009957600644320835,,0.0
2026-04-14,000403.SZ,1100,12.76,14036.0,0.011610307579638416,,0.0
2026-04-14,000421.SZ,1300,6.01,7813.0,0.00646276240522335,,0.0
2026-04-14,000498.SZ,2500,5.81,14524.999999999998,0.012014798916660584,,0.0
2026-04-14,000507.SZ,2000,5.37,10740.0,0.008883920162818222,,0.0
2026-04-14,000547.SZ,100,27.17,2717.0,0.002247449821450383,,0.0
2026-04-14,000564.SZ,6300,1.89,11907.0,0.009849239979392606,,0.0
2026-04-14,000582.SZ,700,10.65,7455.0,0.006166631733129409,,0.0
2026-04-14,000592.SZ,200,11.3,2260.0,0.0018694282651740394,,0.0
2026-04-14,000672.SZ,500,12.99,6495.0,0.005372538310754596,,0.0
2026-04-14,000680.SZ,600,11.61,6966.0,0.005762140396107239,,0.0
2026-04-14,000685.SZ,1000,11.08,11080.0,0.009165161583242636,,0.0
2026-04-14,000697.SZ,1000,10.19,10190.0,0.00842897080624932,,0.0
2026-04-14,000707.SZ,1800,5.9,10620.0,0.008784658485021371,,0.0
2026-04-14,000708.SZ,500,16.23,8115.0,0.006712570961012093,,0.0
2026-04-14,000729.SZ,700,13.33,9331.0,0.007718422629353523,,0.0
2026-04-14,000735.SZ,1400,6.85,9590.0,0.007932662417265061,,0.0
2026-04-14,000800.SZ,2400,7.07,16968.0,0.014035601240474824,,0.0
2026-04-14,000852.SZ,1200,6.98,8376.0,0.006928465110220245,,0.0
2026-04-14,000858.SZ,100,103.1,10310.0,0.008528232484046171,,0.0
2026-04-15,000001.SZ,2000,10.85,21700.0,0.0179677740830417,,0.0
2026-04-15,000166.SZ,3600,4.75,17100.0,0.014158937180645764,,0.0
2026-04-15,000333.SZ,100,77.49,7748.999999999999,0.006416234164492632,,0.0
2026-04-15,000538.SZ,400,54.11,21644.0,0.01792140563379514,,0.0
2026-04-15,000598.SZ,2000,6.68,13360.0,0.011062187177393415,,0.0
2026-04-15,000623.SZ,600,18.33,10997.999999999998,0.009106432228815325,,0.0
2026-04-15,000651.SZ,500,37.39,18695.0,0.015479609976150442,,0.0
2026-04-15,000725.SZ,2600,3.97,10322.0,0.008546698805767578,,0.0
2026-04-15,000728.SZ,2000,7.82,15640.0,0.012950045468146184,,0.0
2026-04-15,000423.SZ,200,53.69,10738.0,0.00889115014302773,,0.0
2026-04-15,000778.SZ,2000,4.46,8920.0,0.007385831558559076,,0.0
2026-04-15,000157.SZ,1000,8.68,8680.0,0.00718710963321668,,0.0
2026-04-15,000513.SZ,400,32.91,13163.999999999998,0.010899897605030457,,0.0
2026-04-15,000589.SZ,2800,4.49,12572.0,0.010409716855852546,,0.0
2026-04-15,000563.SZ,4200,3.33,13986.0,0.011580520199328167,,0.0
2026-04-15,000776.SZ,600,19.86,11916.0,0.009866543593249994,,0.0
2026-04-15,000783.SZ,1500,7.03,10545.0,0.008731344594731554,,0.0
2026-04-15,000750.SZ,3900,3.86,15054.0,0.012464832767101832,,0.0
2026-04-15,000625.SZ,2200,10.04,22087.999999999996,0.018289041195678573,,0.0
2026-04-15,000009.SZ,1300,8.86,11518.0,0.00953699640039052,,0.0
2026-04-15,000049.SZ,400,26.93,10772.0,0.00891930241578457,,0.0
2026-04-15,000061.SZ,1400,7.3,10220.0,0.008462241987497059,,0.0
2026-04-15,000088.SZ,3500,4.49,15715.0,0.013012146069815683,,0.0
2026-04-15,000410.SZ,1400,6.61,9254.0,0.007662386237993912,,0.0
2026-04-15,000510.SZ,200,14.38,2876.0,0.0023813510720197203,,0.0
2026-04-15,000686.SZ,1700,8.18,13906.0,0.011514279557547368,,0.0
2026-04-15,000713.SZ,1600,6.48,10368.0,0.008584787174791537,,0.0
2026-04-15,000007.SZ,500,13.39,6695.0,0.005543513709030608,,0.0
2026-04-15,000019.SZ,1400,7.7,10780.0,0.00892592647996265,,0.0
2026-04-15,000401.SZ,2600,4.61,11986.0,0.009924504154808195,,0.0
2026-04-15,000403.SZ,1100,12.79,14068.999999999998,0.011649244865175743,,0.0
2026-04-15,000421.SZ,1300,5.99,7787.0,0.0064476984693385125,,0.0
2026-04-15,000498.SZ,2500,5.92,14800.0,0.012254518729447795,,0.0
2026-04-15,000507.SZ,2000,5.33,10660.0,0.008826565517291452,,0.0
2026-04-15,000547.SZ,100,27.67,2767.0,0.002291098197593382,,0.0
2026-04-15,000564.SZ,6300,1.88,11844.0,0.009806927015647277,,0.0
2026-04-15,000582.SZ,700,10.48,7336.0,0.0060742668512992586,,0.0
2026-04-15,000592.SZ,200,11.33,2266.0,0.0018762661784411285,,0.0
2026-04-15,000672.SZ,500,12.89,6445.0,0.005336511703465611,,0.0
2026-04-15,000680.SZ,600,11.69,7014.0,0.005807648268131543,,0.0
2026-04-15,000685.SZ,1000,11.06,11060.0,0.009157768726195448,,0.0
2026-04-15,000697.SZ,1000,9.98,9980.0,0.008263520062154662,,0.0
2026-04-15,000707.SZ,1800,5.84,10512.0,0.008704020329996974,,0.0
2026-04-15,000708.SZ,500,16.08,8039.999999999999,0.006657184498970288,,0.0
2026-04-15,000729.SZ,700,12.99,9093.0,0.0075290769464100545,,0.0
2026-04-15,000735.SZ,1400,6.89,9646.0,0.007986965382719827,,0.0
2026-04-15,000800.SZ,2400,7.06,16944.0,0.014029767929173206,,0.0
2026-04-15,000852.SZ,1200,6.86,8232.0,0.006816162039244206,,0.0
2026-04-15,000858.SZ,100,103.55,10355.0,0.008574023070502156,,0.0
2026-04-16,000001.SZ,2000,10.74,21480.0,0.01775887954672348,,0.0
2026-04-16,000166.SZ,3600,4.75,17100.0,0.014137655505073161,,0.0
2026-04-16,000333.SZ,100,77.9,7790.000000000001,0.006440487507866663,,0.0
2026-04-16,000538.SZ,400,53.91,21564.0,0.017828327679029102,,0.0
2026-04-16,000598.SZ,2000,6.66,13320.0,0.011012489551320146,,0.0
2026-04-16,000623.SZ,600,18.39,11034.0,0.00912250823643142,,0.0
2026-04-16,000651.SZ,500,37.32,18660.0,0.015427406533606152,,0.0
2026-04-16,000725.SZ,2600,4.0,10400.0,0.008598340190219935,,0.0
2026-04-16,000728.SZ,2000,7.85,15700.0,0.012980186633312785,,0.0
2026-04-16,000423.SZ,200,54.02,10804.0,0.008932352636070786,,0.0
2026-04-16,000778.SZ,2000,4.47,8940.0,0.007391265509669828,,0.0
2026-04-16,000157.SZ,1000,8.2,8200.0,0.006779460534596486,,0.0
2026-04-16,000513.SZ,400,32.77,13108.000000000002,0.010837215693596434,,0.0
2026-04-16,000589.SZ,2800,4.53,12684.0,0.010486667978149004,,0.0
2026-04-16,000563.SZ,4200,3.33,13986.0,0.011563114028886153,,0.0
2026-04-16,000776.SZ,600,19.88,11928.0,0.009861634787398401,,0.0
2026-04-16,000783.SZ,1500,7.07,10605.0,0.008767826703584846,,0.0
2026-04-16,000750.SZ,3900,3.89,15171.0,0.01254282875248333,,0.0
2026-04-16,000625.SZ,2200,10.15,22330.0,0.018461628504577995,,0.0
2026-04-16,000009.SZ,1300,8.94,11622.0,0.009608645162570777,,0.0
2026-04-16,000049.SZ,400,27.06,10824.0,0.008948887905667363,,0.0
2026-04-16,000061.SZ,1400,7.34,10276.0,0.008495821518721159,,0.0
2026-04-16,000088.SZ,3500,4.45,15575.0,0.01287684119833418,,0.0
2026-04-16,000410.SZ,1400,6.72,9408.0,0.007778190818229725,,0.0
2026-04-16,000510.SZ,200,15.15,3030.0,0.0025050933438813846,,0.0
2026-04-16,000686.SZ,1700,8.19,13923.0,0.011511027929656937,,0.0
