date,symbol,side,shares,price,execution_price,raw_value,execution_value,commission,stamp_tax,transfer_fee,slippage,total_cost,cash_after
2025-10-09,000631.SZ,buy,5500,3.19,3.190638,17545.0,17548.509,5.2635,0.0,0.17545000000000002,3.5089999999981956,8.947949999998194,235167.0357500002
2025-10-09,000682.SZ,buy,1000,12.02,12.022404,12020.0,12022.404,5.0,0.0,0.12020000000000002,2.404000000000451,7.524200000000451,223139.51155000023
2025-10-09,000690.SZ,buy,600,4.44,4.440888,2664.0000000000005,2664.5328,5.0,0.0,0.026640000000000007,0.5327999999994972,5.559439999999498,220469.95211000022
2025-10-09,000713.SZ,buy,4700,6.82,6.821364,32054.0,32060.4108,9.6162,0.0,0.32054000000000005,6.410800000001473,16.347540000001473,188399.6045700002
2025-10-09,000715.SZ,buy,200,5.53,5.531106,1106.0,1106.2212,5.0,0.0,0.01106,0.22119999999995343,5.232259999999953,187288.3723100002
2025-10-09,000719.SZ,buy,100,11.81,11.812362,1181.0,1181.2362,5.0,0.0,0.011810000000000001,0.23620000000005348,5.248010000000053,186102.1243000002
2025-10-09,000722.SZ,buy,1200,12.09,12.092418,14508.0,14510.901600000001,5.0,0.0,0.14508000000000001,2.9016000000010536,8.046680000001054,171586.0776200002
2025-10-09,000725.SZ,buy,5300,4.14,4.140828,21942.0,21946.3884,6.582599999999999,0.0,0.21942000000000003,4.38839999999982,11.190419999999818,149632.8872000002
2025-10-09,000726.SZ,buy,100,6.42,6.421284,642.0,642.1284,5.0,0.0,0.00642,0.12840000000005602,5.134820000000056,148985.7523800002
2025-10-09,000778.SZ,buy,4700,3.87,3.870774,18189.0,18192.6378,5.4567,0.0,0.18189000000000002,3.637800000000425,9.276390000000426,130787.4759900002
2025-10-09,000779.SZ,buy,1800,8.99,8.991798,16182.0,16185.236399999998,5.0,0.0,0.16182000000000002,3.236399999997957,8.398219999997956,114597.07777000019
2025-10-09,000791.SZ,buy,200,6.28,6.281256,1256.0,1256.2512,5.0,0.0,0.012560000000000002,0.25119999999992615,5.263759999999926,113335.81401000019
2025-10-09,000848.SZ,buy,2700,7.96,7.961592,21492.0,21496.2984,6.4475999999999996,0.0,0.21492000000000003,4.298399999999674,10.960919999999675,91832.8530900002
2025-10-09,000850.SZ,buy,4200,4.63,4.630926,19446.0,19449.889199999998,5.833799999999999,0.0,0.19446000000000002,3.8891999999977998,9.9174599999978,72376.9356300002
2025-10-09,000858.SZ,buy,100,118.68,118.703736,11868.0,11870.3736,5.0,0.0,0.11868000000000001,2.373600000000806,7.4922800000008065,60501.4433500002
2025-10-09,000860.SZ,buy,1300,15.57,15.573114,20241.0,20245.0482,6.072299999999999,0.0,0.20241,4.0482000000010885,10.322910000001087,40250.120440000195
2025-11-03,000019.SZ,sell,4000,6.81,6.808638,27240.0,27234.552,8.171999999999999,13.620000000000001,0.27240000000000003,5.44800000000032,27.512400000000323,67462.6080400002
2025-11-03,000027.SZ,sell,2900,6.89,6.888622,19981.0,19977.0038,5.994299999999999,9.9905,0.19981000000000002,3.9962000000014086,20.180810000001408,87423.4272300002
2025-11-03,000039.SZ,sell,200,7.91,7.908418,1582.0,1581.6836,5.0,0.791,0.01582,0.3163999999999305,6.123219999999931,88999.30401000021
2025-11-03,000042.SZ,sell,1900,7.79,7.788442,14801.0,14798.0398,5.0,7.4005,0.14801,2.9601999999995314,15.508709999999532,103784.79530000022
2025-11-03,000088.SZ,sell,1000,4.36,4.359128,4360.0,4359.128,5.0,2.18,0.04360000000000001,0.8720000000002983,8.095600000000298,108136.69970000022
2025-11-03,000089.SZ,sell,400,7.22,7.2185559999999995,2888.0,2887.4224,5.0,1.444,0.028880000000000003,0.5776000000000749,7.050480000000075,111017.64922000021
2025-11-03,000156.SZ,sell,2500,7.91,7.908418,19775.0,19771.045000000002,5.932499999999999,9.887500000000001,0.19775,3.9549999999981083,19.972749999998108,130772.67647000021
2025-11-03,000338.SZ,sell,200,15.05,15.046990000000001,3010.0,3009.398,5.0,1.5050000000000001,0.030100000000000002,0.6019999999998618,7.137099999999862,133775.53937000022
2025-11-03,000404.SZ,sell,200,6.79,6.788642,1358.0,1357.7284,5.0,0.679,0.013580000000000002,0.2716000000000349,5.964180000000035,135127.5751900002
2025-11-03,000408.SZ,sell,200,57.62,57.608475999999996,11524.0,11521.695199999998,5.0,5.7620000000000005,0.11524000000000001,2.3048000000017055,13.182040000001706,146638.3931500002
2025-11-03,000523.SZ,sell,6000,3.23,3.229354,19380.0,19376.124,5.813999999999999,9.69,0.19380000000000003,3.8760000000002037,19.5738000000002,165998.81935000018
2025-11-03,000529.SZ,sell,3500,5.93,5.928814,20755.0,20750.849,6.2265,10.3775,0.20755,4.151000000001659,20.96255000000166,186732.85680000018
2025-11-03,000537.SZ,sell,100,8.71,8.708258,871.0000000000001,870.8258000000001,5.0,0.43550000000000005,0.008710000000000002,0.17420000000004165,5.618410000000042,187598.2383900002
2025-11-03,000543.SZ,sell,4800,8.2,8.19836,39360.0,39352.128,11.808,19.68,0.3936,7.872000000003027,39.753600000003026,226918.4847900002
2025-11-03,000554.SZ,sell,100,6.78,6.778644000000001,678.0,677.8644,5.0,0.339,0.0067800000000000004,0.13559999999995398,5.481379999999954,227591.00341000018
2025-11-03,000582.SZ,sell,100,8.69,8.688262,869.0,868.8262,5.0,0.4345,0.008690000000000002,0.17380000000002838,5.616990000000028,228454.38642000017
2025-11-03,000589.SZ,sell,6200,4.85,4.84903,30069.999999999996,30063.986,9.020999999999997,15.034999999999998,0.30069999999999997,6.013999999995576,30.370699999995573,258494.01572000017
