data_type,synthetic_data,mock_data,download_source,symbol,qlib_symbol,name,weight,source
real_akshare,False,False,akshare,600809.SH,SH600809,山西汾酒,,index_stock_cons_csindex
real_akshare,False,False,akshare,600845.SH,SH600845,宝信软件,,index_stock_cons_csindex
real_akshare,False,False,akshare,600875.SH,SH600875,东方电气,,index_stock_cons_csindex
real_akshare,False,False,akshare,600886.SH,SH600886,国投电力,,index_stock_cons_csindex
real_akshare,False,False,akshare,600887.SH,SH600887,伊利股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,600893.SH,SH600893,航发动力,,index_stock_cons_csindex
real_akshare,False,False,akshare,600900.SH,SH600900,长江电力,,index_stock_cons_csindex
real_akshare,False,False,akshare,600905.SH,SH600905,三峡能源,,index_stock_cons_csindex
real_akshare,False,False,akshare,600918.SH,SH600918,中泰证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,600919.SH,SH600919,江苏银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,600926.SH,SH600926,杭州银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,600930.SH,SH600930,华电新能,,index_stock_cons_csindex
real_akshare,False,False,akshare,600938.SH,SH600938,中国海油,,index_stock_cons_csindex
real_akshare,False,False,akshare,600941.SH,SH600941,中国移动,,index_stock_cons_csindex
real_akshare,False,False,akshare,600958.SH,SH600958,东方证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,600989.SH,SH600989,宝丰能源,,index_stock_cons_csindex
real_akshare,False,False,akshare,600999.SH,SH600999,招商证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601006.SH,SH601006,大秦铁路,,index_stock_cons_csindex
real_akshare,False,False,akshare,601009.SH,SH601009,南京银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601012.SH,SH601012,隆基绿能,,index_stock_cons_csindex
real_akshare,False,False,akshare,601018.SH,SH601018,宁波港,,index_stock_cons_csindex
real_akshare,False,False,akshare,601021.SH,SH601021,春秋航空,,index_stock_cons_csindex
real_akshare,False,False,akshare,601058.SH,SH601058,赛轮轮胎,,index_stock_cons_csindex
real_akshare,False,False,akshare,601059.SH,SH601059,信达证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601066.SH,SH601066,中信建投,,index_stock_cons_csindex
real_akshare,False,False,akshare,601077.SH,SH601077,渝农商行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601088.SH,SH601088,中国神华,,index_stock_cons_csindex
real_akshare,False,False,akshare,601100.SH,SH601100,恒立液压,,index_stock_cons_csindex
real_akshare,False,False,akshare,601111.SH,SH601111,中国国航,,index_stock_cons_csindex
real_akshare,False,False,akshare,601117.SH,SH601117,中国化学,,index_stock_cons_csindex
real_akshare,False,False,akshare,601127.SH,SH601127,赛力斯,,index_stock_cons_csindex
real_akshare,False,False,akshare,601136.SH,SH601136,首创证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601138.SH,SH601138,工业富联,,index_stock_cons_csindex
real_akshare,False,False,akshare,601166.SH,SH601166,兴业银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601169.SH,SH601169,北京银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601186.SH,SH601186,中国铁建,,index_stock_cons_csindex
real_akshare,False,False,akshare,601211.SH,SH601211,国泰海通,,index_stock_cons_csindex
real_akshare,False,False,akshare,601225.SH,SH601225,陕西煤业,,index_stock_cons_csindex
real_akshare,False,False,akshare,601229.SH,SH601229,上海银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601238.SH,SH601238,广汽集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,601288.SH,SH601288,农业银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601318.SH,SH601318,中国平安,,index_stock_cons_csindex
real_akshare,False,False,akshare,601319.SH,SH601319,中国人保,,index_stock_cons_csindex
real_akshare,False,False,akshare,601328.SH,SH601328,交通银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601336.SH,SH601336,新华保险,,index_stock_cons_csindex
real_akshare,False,False,akshare,601360.SH,SH601360,三六零,,index_stock_cons_csindex
real_akshare,False,False,akshare,601377.SH,SH601377,兴业证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601390.SH,SH601390,中国中铁,,index_stock_cons_csindex
real_akshare,False,False,akshare,601398.SH,SH601398,工商银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601456.SH,SH601456,国联民生,,index_stock_cons_csindex
real_akshare,False,False,akshare,601600.SH,SH601600,中国铝业,,index_stock_cons_csindex
real_akshare,False,False,akshare,601601.SH,SH601601,中国太保,,index_stock_cons_csindex
real_akshare,False,False,akshare,601607.SH,SH601607,上海医药,,index_stock_cons_csindex
real_akshare,False,False,akshare,601618.SH,SH601618,中国中冶,,index_stock_cons_csindex
real_akshare,False,False,akshare,601628.SH,SH601628,中国人寿,,index_stock_cons_csindex
real_akshare,False,False,akshare,601633.SH,SH601633,长城汽车,,index_stock_cons_csindex
real_akshare,False,False,akshare,601658.SH,SH601658,邮储银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601668.SH,SH601668,中国建筑,,index_stock_cons_csindex
real_akshare,False,False,akshare,601669.SH,SH601669,中国电建,,index_stock_cons_csindex
real_akshare,False,False,akshare,601688.SH,SH601688,华泰证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601689.SH,SH601689,拓普集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,601698.SH,SH601698,中国卫通,,index_stock_cons_csindex
real_akshare,False,False,akshare,601727.SH,SH601727,上海电气,,index_stock_cons_csindex
real_akshare,False,False,akshare,601728.SH,SH601728,中国电信,,index_stock_cons_csindex
real_akshare,False,False,akshare,601766.SH,SH601766,中国中车,,index_stock_cons_csindex
real_akshare,False,False,akshare,601788.SH,SH601788,光大证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601800.SH,SH601800,中国交建,,index_stock_cons_csindex
real_akshare,False,False,akshare,601816.SH,SH601816,京沪高铁,,index_stock_cons_csindex
real_akshare,False,False,akshare,601818.SH,SH601818,光大银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601825.SH,SH601825,沪农商行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601838.SH,SH601838,成都银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601857.SH,SH601857,中国石油,,index_stock_cons_csindex
real_akshare,False,False,akshare,601868.SH,SH601868,中国能建,,index_stock_cons_csindex
real_akshare,False,False,akshare,601872.SH,SH601872,招商轮船,,index_stock_cons_csindex
real_akshare,False,False,akshare,601877.SH,SH601877,正泰电器,,index_stock_cons_csindex
real_akshare,False,False,akshare,601878.SH,SH601878,浙商证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601881.SH,SH601881,中国银河,,index_stock_cons_csindex
real_akshare,False,False,akshare,601888.SH,SH601888,中国中免,,index_stock_cons_csindex
real_akshare,False,False,akshare,601898.SH,SH601898,中煤能源,,index_stock_cons_csindex
real_akshare,False,False,akshare,601899.SH,SH601899,紫金矿业,,index_stock_cons_csindex
real_akshare,False,False,akshare,601901.SH,SH601901,方正证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,601916.SH,SH601916,浙商银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601919.SH,SH601919,中远海控,,index_stock_cons_csindex
real_akshare,False,False,akshare,601939.SH,SH601939,建设银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601985.SH,SH601985,中国核电,,index_stock_cons_csindex
real_akshare,False,False,akshare,601988.SH,SH601988,中国银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,601995.SH,SH601995,中金公司,,index_stock_cons_csindex
real_akshare,False,False,akshare,601998.SH,SH601998,中信银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,603019.SH,SH603019,中科曙光,,index_stock_cons_csindex
real_akshare,False,False,akshare,603259.SH,SH603259,药明康德,,index_stock_cons_csindex
real_akshare,False,False,akshare,603260.SH,SH603260,合盛硅业,,index_stock_cons_csindex
real_akshare,False,False,akshare,603288.SH,SH603288,海天味业,,index_stock_cons_csindex
real_akshare,False,False,akshare,603296.SH,SH603296,华勤技术,,index_stock_cons_csindex
real_akshare,False,False,akshare,603369.SH,SH603369,今世缘,,index_stock_cons_csindex
real_akshare,False,False,akshare,603392.SH,SH603392,万泰生物,,index_stock_cons_csindex
real_akshare,False,False,akshare,603501.SH,SH603501,豪威集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,603799.SH,SH603799,华友钴业,,index_stock_cons_csindex
real_akshare,False,False,akshare,603893.SH,SH603893,瑞芯微,,index_stock_cons_csindex
real_akshare,False,False,akshare,603986.SH,SH603986,兆易创新,,index_stock_cons_csindex
real_akshare,False,False,akshare,603993.SH,SH603993,洛阳钼业,,index_stock_cons_csindex
real_akshare,False,False,akshare,605117.SH,SH605117,德业股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,605499.SH,SH605499,东鹏饮料,,index_stock_cons_csindex
real_akshare,False,False,akshare,688008.SH,SH688008,澜起科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,688009.SH,SH688009,中国通号,,index_stock_cons_csindex
real_akshare,False,False,akshare,688012.SH,SH688012,中微公司,,index_stock_cons_csindex
real_akshare,False,False,akshare,688036.SH,SH688036,传音控股,,index_stock_cons_csindex
real_akshare,False,False,akshare,688041.SH,SH688041,海光信息,,index_stock_cons_csindex
real_akshare,False,False,akshare,688047.SH,SH688047,龙芯中科,,index_stock_cons_csindex
real_akshare,False,False,akshare,688072.SH,SH688072,拓荆科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,688082.SH,SH688082,盛美上海,,index_stock_cons_csindex
real_akshare,False,False,akshare,688111.SH,SH688111,金山办公,,index_stock_cons_csindex
