symbol,industry,industry_source,rows,selected_rows,has_industry,is_unknown
688629.SH,军工电子Ⅱ,akshare_metadata_cache,725,645,True,False
688630.SH,机械设备,akshare_metadata_cache,1266,1185,True,False
688631.SH,垂直应用软件,eastmoney_board_industry,724,644,True,False
688639.SH,食品及饲料添加剂,akshare_metadata_cache,1252,1170,True,False
688652.SH,电子,akshare_metadata_cache,620,541,True,False
688658.SH,化学制剂,akshare_metadata_cache,1330,1251,True,False
688660.SH,电力设备,akshare_metadata_cache,1236,1144,True,False
688668.SH,通信设备,akshare_metadata_cache,1333,1254,True,False
688676.SH,输变电设备,eastmoney_board_industry,1283,1202,True,False
688686.SH,其他自动化设备,akshare_metadata_cache,1325,1246,True,False
688690.SH,化学制药,eastmoney_board_industry,1212,1133,True,False
688691.SH,集成电路制造,akshare_metadata_cache,533,451,True,False
688692.SH,垂直应用软件,eastmoney_board_industry,493,414,True,False
688698.SH,自动化设备,akshare_metadata_cache,1327,1248,True,False
688700.SH,机械设备,akshare_metadata_cache,1218,1139,True,False
688702.SH,数字芯片设计,eastmoney_board_industry,668,589,True,False
688708.SH,航空装备Ⅱ,akshare_metadata_cache,374,295,True,False
688709.SH,数字芯片设计,akshare_metadata_cache,571,496,True,False
688717.SH,电力设备,akshare_metadata_cache,596,519,True,False
688726.SH,电力设备,akshare_metadata_cache,401,322,True,False
688728.SH,数字芯片设计,akshare_metadata_cache,1172,1093,True,False
688766.SH,数字芯片设计,akshare_metadata_cache,1159,1080,True,False
688772.SH,电池,akshare_metadata_cache,1137,1057,True,False
688776.SH,军工电子Ⅱ,akshare_metadata_cache,1163,1084,True,False
688777.SH,自动化设备,akshare_metadata_cache,1352,1272,True,False
688778.SH,电池化学品,akshare_metadata_cache,1181,1102,True,False
688779.SH,电池化学品,akshare_metadata_cache,1177,1098,True,False
688789.SH,机械设备,eastmoney_board_industry,1201,1122,True,False
688798.SH,模拟芯片设计,akshare_metadata_cache,1174,1095,True,False
688800.SH,其他电子Ⅱ,akshare_metadata_cache,1191,1112,True,False
688819.SH,电池,akshare_metadata_cache,1314,1237,True,False
688981.SH,集成电路制造,eastmoney_board_industry,1433,1353,True,False
689009.SH,汽车,akshare_metadata_cache,1370,1290,True,False
