date,open,high,low,close,volume,amount,symbol,data_source,amount_estimated,price_adjust,source_priority,source_fetch_time,source_error,volume_unit,quality_flags,factor,is_paused,is_st,list_date,list_date_fallback,industry,limit_up,limit_down,has_valid_ohlc,has_valid_volume,has_valid_amount,has_valid_limit,has_valid_list_date,has_valid_industry,listed_days,listed_days_fallback,avg_amount,eligible,liquidity_rank,selected,industry_source,industry_update_date,previous_amount,amount_pct_change
2018-09-06,15.77,15.77,14.71,15.46,75415800.0,1316592576.0,002028.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:15.557197+00:00,,share,,1.0,False,False,2004-08-05,False,C 制造业,15.587000000000002,12.753,True,True,True,True,True,True,5145,False,92972508.2,True,,True,akshare_metadata_cache,,28121988.0,45.81719428939377
2020-02-25,17.8,19.57,16.84,18.74,109331500.0,2258273696.0,002028.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:15.557197+00:00,,share,,1.0,False,False,2004-08-05,False,C 制造业,19.404000000000003,15.876000000000001,True,True,True,True,True,True,5682,False,340076309.0,True,,True,akshare_metadata_cache,,84435171.0,25.74565195112828
2019-06-04,34.45,36.5,33.03,33.66,95744400.0,4834312960.0,002049.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:15.645131+00:00,,share,,1.0,False,False,2005-06-06,False,C 制造业,37.598000000000006,30.762,True,True,True,True,True,True,5111,False,1056920419.1,True,,True,akshare_metadata_cache,,86985646.0,54.575985030909585
2019-04-11,5.45,5.45,4.89,5.3,141320300.0,889340752.0,002064.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:15.806807+00:00,,share,,1.0,False,False,2006-08-23,False,C 制造业,5.346000000000001,4.3740000000000006,True,True,True,True,True,True,4614,False,129613395.55,True,,True,akshare_metadata_cache,,15444914.0,56.58146351608044
2024-11-13,9.38,9.38,8.86,9.1,658929400.0,6056760429.8,002065.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:15.866584+00:00,,share,,1.0,False,False,2006-08-23,False,I 信息技术,9.372,7.668,True,True,True,True,True,True,6657,False,1083755007.6880002,True,,True,akshare_metadata_cache,,176212603.48,33.371891171152456
2025-02-19,12.31,12.42,11.46,12.42,922850100.0,11248269387.75,002065.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:15.866584+00:00,,share,,1.0,False,False,2006-08-23,False,I 信息技术,12.419,10.161,True,True,True,False,True,True,6755,False,1609949572.9225,True,,True,akshare_metadata_cache,,256098602.34,42.92163520211892
2020-06-02,35.88,35.88,31.7,32.02,161854300.0,5578588160.0,002074.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:16.030874+00:00,,share,,1.0,False,False,2006-10-18,False,C 制造业,35.849000000000004,29.331000000000003,True,True,True,True,True,True,4976,False,1505316895.25,True,,True,akshare_metadata_cache,,18049407.0,308.07320999520925
2018-04-25,7.65,8.65,7.65,7.72,122000300.0,1120227776.0,002085.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:58.590049+00:00,,share,,1.0,False,False,2006-11-28,False,C 制造业,9.515,7.785,True,True,True,False,True,True,4166,False,152083097.45,True,,True,akshare_metadata_cache,,34947870.0,31.054250402098894
2022-05-06,3.82,4.07,3.75,3.92,116588600.0,519909680.0,002085.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:58.590049+00:00,,share,,1.0,False,False,2006-11-28,False,C 制造业,4.015000000000001,3.285,True,True,True,True,True,True,5638,False,68417217.15,True,,True,akshare_metadata_cache,,23013086.0,21.591914878343566
2020-02-06,8.73,9.6,8.55,9.42,106927100.0,1053210704.0,002126.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:16.116900+00:00,,share,,1.0,False,False,2007-04-18,False,C 制造业,9.537,7.803,True,True,True,True,True,True,4677,False,227699169.9,True,,True,akshare_metadata_cache,,22359391.0,46.10372943520689
2024-12-03,4.38,4.38,4.23,4.38,1448076400.0,6423166244.85,002131.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:59.199588+00:00,,share,,1.0,False,False,2007-04-27,False,L 商务服务,4.378,3.582,True,True,True,False,True,True,6430,False,2187515626.563,True,,True,akshare_metadata_cache,,119182965.36,52.893324649612495
2026-01-23,7.56,8.94,7.56,8.37,2073607300.0,17004833303.56,002131.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:59.199588+00:00,,share,,1.0,False,False,2007-04-27,False,L 商务服务,9.229000000000001,7.551000000000001,True,True,True,True,True,True,6846,False,6054907786.892,True,,True,akshare_metadata_cache,,289376034.0,57.76379280103065
2026-01-30,36.7,36.7,35.7,36.7,364409800.0,13414327742.5,002155.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:59.818487+00:00,,share,,1.0,False,False,2007-08-16,False,B 采矿业,36.67400000000001,30.006000000000004,True,True,True,False,True,True,6742,False,1476137111.5485,True,,True,akshare_metadata_cache,,147675327.72,89.83662077889039
2023-05-24,2.63,2.63,2.38,2.38,146525500.0,361664757.45,002157.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:16.553957+00:00,,share,,1.0,False,False,2007-08-17,False,A 农林牧渔,2.75,2.25,True,True,True,True,True,True,5759,False,104403036.877,True,,True,akshare_metadata_cache,,11055562.5,31.71337459762902
2023-08-10,3.14,3.14,2.88,2.95,253575700.0,764871436.75,002157.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:16.553957+00:00,,share,,1.0,False,False,2007-08-17,False,A 农林牧渔,3.3220000000000005,2.718,True,True,True,True,True,True,5837,False,188034931.9145,True,,True,akshare_metadata_cache,,17036191.46,43.89685611633763
2022-11-11,15.97,17.02,15.97,16.46,535354700.0,9242776321.92,002241.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.114027+00:00,,share,,1.0,False,False,2008-05-22,False,C 制造业,19.591,16.029,True,True,True,True,True,True,5286,False,2363236208.8494997,True,,True,akshare_metadata_cache,,324206005.0,27.508960905643928
2019-03-27,12.1,13.3,11.0,12.47,48006200.0,596264128.0,002265.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.264043+00:00,,share,,1.0,False,False,2008-08-06,False,C 制造业,13.31,10.89,True,True,True,True,True,True,3885,False,104160904.35,True,,True,akshare_metadata_cache,,21855032.0,26.282692974322803
2021-12-22,28.75,28.75,28.75,28.75,44739300.0,1286256080.0,002265.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.264043+00:00,,share,,1.0,False,False,2008-08-06,False,C 制造业,28.754,23.526,True,True,True,True,True,True,4886,False,83706429.05,True,,True,akshare_metadata_cache,,9862491.0,129.41898644064668
2024-12-18,20.59,21.79,20.59,21.07,134542400.0,2793817058.04,002265.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.264043+00:00,,share,,1.0,False,False,2008-08-06,False,C 制造业,25.168,20.592,True,True,True,True,True,True,5978,False,917087817.5115,True,,True,akshare_metadata_cache,,61460256.0,44.45729614338085
2019-03-27,5.64,5.64,4.96,5.02,114674000.0,642340352.0,002266.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.247374+00:00,,share,,1.0,False,False,2008-08-06,False,N 公共环保,5.896000000000001,4.824000000000001,True,True,True,True,True,True,3885,False,140197395.1,True,,True,akshare_metadata_cache,,22059523.0,28.11850596225494
2018-05-09,5.27,5.44,5.27,5.27,79344900.0,462433200.0,002312.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.787798+00:00,,share,,1.0,False,False,2009-12-03,False,C 制造业,6.501,5.319,True,True,True,False,True,True,3079,False,232978740.0,True,,True,akshare_metadata_cache,,3524280.0,130.2135244645715
2025-02-18,29.92,30.6,27.21,27.92,94284500.0,4047049435.87,002335.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.767321+00:00,,share,,1.0,False,False,2010-01-13,False,C 制造业,31.383000000000003,25.677000000000003,True,True,True,True,True,True,5515,False,1338533657.716,True,,True,akshare_metadata_cache,,180167976.6,21.46264576115576
2025-12-01,61.37,61.37,58.6,61.37,57237900.0,3524196797.95,002353.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:17.909524+00:00,,share,,1.0,False,False,2010-02-05,False,C 制造业,61.303000000000004,50.157,True,True,True,False,True,True,5778,False,677774423.878,True,,True,akshare_metadata_cache,,138009665.97,24.535869340601664
2018-03-05,9.48,9.48,8.85,9.13,59978000.0,599426432.0,002402.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:18.396143+00:00,,share,,1.0,False,False,2010-05-11,False,C 制造业,9.394,7.685999999999999,True,True,True,True,True,True,2855,False,89995542.35,True,,True,akshare_metadata_cache,,21268482.0,27.1837900796117
2024-11-14,18.49,18.49,17.63,18.49,403605300.0,7495888969.15,002402.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:18.396143+00:00,,share,,1.0,False,False,2010-05-11,False,C 制造业,18.458000000000002,15.102000000000002,True,True,True,False,True,True,5301,False,743258799.6014999,True,,True,akshare_metadata_cache,,220488162.44,32.9967864315156
2025-09-24,60.51,60.51,50.36,55.8,262113700.0,14701193018.77,002402.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:18.396143+00:00,,share,,1.0,False,False,2010-05-11,False,C 制造业,60.489000000000004,49.491,True,True,True,True,True,True,5615,False,4193188992.738,True,,True,akshare_metadata_cache,,171457006.92,84.74273681115535
2024-09-26,9.66,9.66,9.56,9.66,230393700.0,2261480101.52,002423.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:18.450719+00:00,,share,,1.0,False,False,2010-06-03,False,J 金融业,9.647,7.893,True,True,True,False,True,True,5229,False,233092540.07799998,True,,True,akshare_metadata_cache,,101859000.19,21.20206459224622
2021-11-26,12.07,12.15,9.89,10.55,120741100.0,1946999184.0,002432.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.078567+00:00,,share,,1.0,False,False,2010-06-10,False,C 制造业,12.034,9.846,True,True,True,True,True,True,4187,False,219570664.65,True,,True,akshare_metadata_cache,,31521379.0,60.76757634873779
2021-12-22,32.84,32.84,27.39,32.84,110805700.0,4068333712.0,002432.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.078567+00:00,,share,,1.0,False,False,2010-06-10,False,C 制造业,32.329,26.451,True,True,True,False,True,True,4213,False,1748522572.85,True,,True,akshare_metadata_cache,,70273230.0,56.89307979724285
2022-01-18,79.88,83.76,69.41,69.41,101127500.0,8144061952.0,002432.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.078567+00:00,,share,,1.0,False,False,2010-06-10,False,C 制造业,85.459,69.921,True,True,True,False,True,True,4240,False,3508831155.5,True,,True,akshare_metadata_cache,,235123592.0,33.63736617293598
2022-01-25,51.49,61.38,51.49,51.49,114631300.0,6725311488.0,002432.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.078567+00:00,,share,,1.0,False,False,2010-06-10,False,C 制造业,63.55800000000001,52.002,True,True,True,False,True,True,4247,False,3886068206.0,True,,True,akshare_metadata_cache,,274778656.0,23.475378058476274
2020-02-04,8.03,9.24,8.03,9.04,133664800.0,1237081232.0,002436.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.056902+00:00,,share,,1.0,False,False,2010-06-18,False,C 制造业,9.867,8.073,True,True,True,True,True,True,3518,False,803301854.4,True,,True,akshare_metadata_cache,,40709472.0,29.388044138720346
2020-02-04,20.62,25.25,20.62,24.65,162552300.0,4299803392.0,002466.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.452510+00:00,,share,,1.0,False,False,2010-08-31,False,C 制造业,25.729000000000003,21.051000000000002,True,True,True,True,True,True,3444,False,1852254006.2,True,,True,akshare_metadata_cache,,131049308.0,31.810576855545087
2021-09-06,14.0,14.0,13.13,13.44,92268700.0,1309395408.0,002487.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.717395+00:00,,share,,1.0,False,False,2010-10-15,False,C 制造业,13.948,11.412,True,True,True,True,True,True,3979,False,214531447.35,True,,True,akshare_metadata_cache,,61332732.0,20.349047487400366
2020-05-21,6.11,6.11,5.16,5.2,55773100.0,418968864.0,002532.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:19.881516+00:00,,share,,1.0,False,False,2010-12-31,False,C 制造业,5.918,4.842,True,True,True,True,True,True,3429,False,76636196.0,True,,True,akshare_metadata_cache,,7841501.0,52.4296767927467
2024-09-25,5.76,5.76,5.45,5.76,360346000.0,2060893516.86,002583.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:20.313699+00:00,,share,,1.0,False,False,2011-05-27,False,C 制造业,5.764000000000001,4.716,True,True,True,True,True,True,4870,False,212745188.883,True,,True,akshare_metadata_cache,,61865116.8,32.31269095510703
2020-08-06,28.52,28.52,23.63,27.23,200035100.0,5272984320.0,002625.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:21.059057+00:00,,share,,1.0,False,False,2011-11-03,False,C 制造业,28.479000000000003,23.301000000000002,True,True,True,True,True,True,3199,False,909036994.4,True,,True,akshare_metadata_cache,,177383700.0,28.726431008035124
2024-10-09,28.77,30.0,27.7,27.8,226173900.0,6718417900.26,002625.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:21.059057+00:00,,share,,1.0,False,False,2011-11-03,False,C 制造业,29.975,24.525000000000002,True,True,True,True,True,True,4724,False,984055354.8535,True,,True,akshare_metadata_cache,,236287494.48,27.433235178379977
2018-06-29,8.26,8.26,7.92,8.26,9765000.0,210715742.0,002738.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:21.017130+00:00,,share,,1.0,False,False,2014-12-30,False,C 制造业,7.9750000000000005,6.525,True,True,True,False,True,True,1277,False,33198211.0,True,,True,akshare_metadata_cache,,6730800.0,30.306195697391097
2020-02-04,5.0,5.0,4.54,4.82,7275700.0,107552237.0,002738.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:21.017130+00:00,,share,,1.0,False,False,2014-12-30,False,C 制造业,5.5440000000000005,4.5360000000000005,True,True,True,True,True,True,1862,False,70821214.8,True,,True,akshare_metadata_cache,,4773952.0,21.528973269944903
2020-02-04,14.0,15.08,14.0,14.8,64021700.0,920787616.0,002739.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:21.670810+00:00,,share,,1.0,False,False,2015-01-22,False,R 文化传播,17.116000000000003,14.004000000000001,True,True,True,True,True,True,1839,False,660770455.2,True,,True,akshare_metadata_cache,,22288144.0,40.31288886145028
2022-11-23,124.23,130.08,124.23,128.44,48980200.0,6238429107.52,002812.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:21.698516+00:00,,share,,1.0,False,False,2016-09-14,False,C 制造业,152.07500000000002,124.425,True,True,True,True,True,True,2261,False,1193118271.1845,True,,True,akshare_metadata_cache,,141025037.0,43.236323139698946
