date,industry,portfolio_weight,benchmark_weight,active_weight
2026-05-06,A 农林牧渔,0.0,0.005341880341880342,-0.005341880341880342
2026-05-06,B 采矿业,0.0,0.00641025641025641,-0.00641025641025641
2026-05-06,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-06,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-06,K 房地产,0.0,0.007478632478632479,-0.007478632478632479
2026-05-06,I 信息技术,0.040043915151520795,0.049145299145299144,-0.009101383993778349
2026-05-06,L 商务服务,0.0,0.009615384615384616,-0.009615384615384616
2026-05-06,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-06,unknown,0.3214426527294027,0.4465811965811966,-0.1251385438517939
2026-05-07,L 商务服务,0.0399854276426043,0.009615384615384616,0.030370043027219684
2026-05-07,C 制造业,0.4169738730272187,0.3888888888888889,0.028084984138329827
2026-05-07,D 水电煤气,0.0387506033781574,0.011752136752136752,0.02699846662602065
2026-05-07,G 运输仓储,0.0176608943005308,0.007478632478632479,0.010182261821898322
2026-05-07,M 科研服务,0.0170635419512165,0.013888888888888888,0.0031746530623276113
2026-05-07,F 批发零售,0.0204474560761122,0.019230769230769232,0.0012166868453429673
2026-05-07,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-07,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-07,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
2026-05-07,A 农林牧渔,0.0,0.005341880341880342,-0.005341880341880342
2026-05-07,B 采矿业,0.0,0.00641025641025641,-0.00641025641025641
2026-05-07,E 建筑业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-07,J 金融业,0.0,0.007478632478632479,-0.007478632478632479
2026-05-07,K 房地产,0.0,0.007478632478632479,-0.007478632478632479
2026-05-07,I 信息技术,0.0401004109972055,0.049145299145299144,-0.009044888148093642
2026-05-07,N 公共环保,0.0,0.010683760683760684,-0.010683760683760684
2026-05-07,unknown,0.3984029200752428,0.4465811965811966,-0.0481782765059538
2026-05-08,I 信息技术,0.08092520538679909,0.049145299145299144,0.03177990624149995
2026-05-08,L 商务服务,0.0401029630992807,0.009615384615384616,0.030487578483896084
2026-05-08,D 水电煤气,0.0395962234078404,0.011752136752136752,0.027844086655703648
2026-05-08,G 运输仓储,0.0172134708495688,0.007478632478632479,0.009734838370936319
2026-05-08,M 科研服务,0.0162213484808626,0.013888888888888888,0.0023324595919737116
2026-05-08,F 批发零售,0.0213247664602208,0.019230769230769232,0.002093997229451569
2026-05-08,P 教育,0.0,0.002136752136752137,-0.002136752136752137
2026-05-08,Q 卫生,0.0,0.002136752136752137,-0.002136752136752137
2026-05-08,R 文化传播,0.0,0.004273504273504274,-0.004273504273504274
