symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
002648.SZ,eastmoney,1,False,eastmoney,,
002673.SZ,eastmoney,1,False,eastmoney,,
002683.SZ,eastmoney,1,False,eastmoney,,
002714.SZ,eastmoney,1,False,eastmoney,,
002736.SZ,eastmoney,1,False,eastmoney,,
002738.SZ,eastmoney,1,False,eastmoney,,
002739.SZ,eastmoney,1,False,eastmoney,,
002773.SZ,eastmoney,1,False,eastmoney,,
002797.SZ,eastmoney,1,False,eastmoney,,
002812.SZ,eastmoney,1,False,eastmoney,,
002821.SZ,eastmoney,1,False,eastmoney,,
002837.SZ,eastmoney,1,False,eastmoney,,
002841.SZ,eastmoney,1,False,eastmoney,,
002850.SZ,eastmoney,1,False,eastmoney,,
002851.SZ,eastmoney,1,False,eastmoney,,
002916.SZ,eastmoney,1,False,eastmoney,,
002920.SZ,eastmoney,1,False,eastmoney,,
002926.SZ,eastmoney,1,False,eastmoney,,
002938.SZ,eastmoney,1,False,eastmoney,,
002939.SZ,eastmoney,1,False,eastmoney,,
002966.SZ,eastmoney,1,False,eastmoney,,
002984.SZ,eastmoney,1,False,eastmoney,,
003021.SZ,eastmoney,1,False,eastmoney,,
003022.SZ,eastmoney,1,False,eastmoney,,
003035.SZ,eastmoney,1,False,eastmoney,,
003816.SZ,eastmoney,1,False,eastmoney,,
300001.SZ,eastmoney,1,False,eastmoney,,
300002.SZ,eastmoney,1,False,eastmoney,,
300003.SZ,eastmoney,1,False,eastmoney,,
300012.SZ,eastmoney,1,False,eastmoney,,
300014.SZ,eastmoney,1,False,eastmoney,,
300015.SZ,eastmoney,1,False,eastmoney,,
300017.SZ,eastmoney,1,False,eastmoney,,
300024.SZ,eastmoney,1,False,eastmoney,,
300033.SZ,eastmoney,1,False,eastmoney,,
300054.SZ,eastmoney,1,False,eastmoney,,
300058.SZ,eastmoney,1,False,eastmoney,,
300059.SZ,eastmoney,1,False,eastmoney,,
300073.SZ,eastmoney,1,False,eastmoney,,
300100.SZ,eastmoney,1,False,eastmoney,,
300115.SZ,eastmoney,1,False,eastmoney,,
300124.SZ,eastmoney,1,False,eastmoney,,
300136.SZ,eastmoney,1,False,eastmoney,,
300142.SZ,eastmoney,1,False,eastmoney,,
300144.SZ,eastmoney,1,False,eastmoney,,
300207.SZ,eastmoney,1,False,eastmoney,,
300223.SZ,eastmoney,1,False,eastmoney,,
300274.SZ,eastmoney,1,False,eastmoney,,
300285.SZ,eastmoney,1,False,eastmoney,,
300308.SZ,eastmoney,1,False,eastmoney,,
300316.SZ,eastmoney,1,False,eastmoney,,
300339.SZ,eastmoney,1,False,eastmoney,,
300373.SZ,eastmoney,1,False,eastmoney,,
300383.SZ,eastmoney,1,False,eastmoney,,
300390.SZ,eastmoney,1,False,eastmoney,,
300395.SZ,eastmoney,1,False,eastmoney,,
300408.SZ,eastmoney,1,False,eastmoney,,
300413.SZ,eastmoney,1,False,eastmoney,,
300418.SZ,eastmoney,1,False,eastmoney,,
